Argument Shapes,Count,Device,Duration (us),Name,Percent
"float32[1, 256, 64]",1,"metal0",21.667,"vm.builtin.cached_padding_1d_update",0.0462781
"float32[1, 256, 64]",1,"metal0",38.875,"vm.builtin.cached_padding_1d_update",0.0830322
"float32[1, 256, 64]",1,"metal0",310.542,"vm.builtin.cached_padding_1d_update",0.66328
"float32[1, 256, 64], float32[256, 256, 1], float32[1, 256, 1], float32[1, 256, 64], float32[1, 256, 64]",1,"metal0",189.75,"fused_conv1d30_add24_add25_add261",0.405283
"float32[1, 256, 64]",1,"metal0",48.625,"vm.builtin.cached_padding_1d_update",0.103857
"float32[1, 256, 64], float32[1, 256, 1], float32[1, 256, 64]",1,"metal0",177.208,"fused_reshape16_snake2_reshape161",0.378495
"float32[1, 256, 64]",1,"metal0",64.792,"vm.builtin.cached_padding_1d_update",0.138388
"float32[1, 256, 64]",1,"metal0",230.125,"vm.builtin.cached_padding_1d_update",0.491519
"float32[1, 256, 118], float32[256, 256, 7], float32[1, 256, 1], float32[1, 256, 64]",1,"metal0",251.334,"fused_conv1d32_add241",0.536819
"float32[1, 256, 64], float32[1, 256, 1], float32[1, 256, 64]",1,"metal0",157.583,"fused_reshape16_snake2_reshape161",0.336578
"float32[1, 256, 64]",1,"metal0",33.167,"vm.builtin.cached_padding_1d_update",0.0708406
"float32[1, 256, 64]",1,"metal0",88.666,"vm.builtin.cached_padding_1d_update",0.18938
"float32[1, 256, 64]",1,"metal0",279.208,"vm.builtin.cached_padding_1d_update",0.596354
"float32[1, 256, 64], float32[256, 256, 1], float32[1, 256, 1], float32[1, 256, 64], float32[1, 256, 64]",1,"metal0",209.542,"fused_conv1d30_add24_add25_add261",0.447556
"float32[1, 256, 64], float32[1, 256, 1], float32[1, 256, 64]",1,"metal0",194.834,"fused_reshape16_snake2_reshape161",0.416142
"float32[1, 256, 64]",1,"metal0",286.167,"vm.builtin.cached_padding_1d_update",0.611218
"float32[1, 256, 64]",1,"metal0",203.625,"vm.builtin.cached_padding_1d_update",0.434918
"float32[1, 256, 72], float32[512, 256, 16], float32[1, 512, 1], float32[1, 512, 8]",1,"metal0",240.334,"fused_conv1d33_add271",0.513324
"float32[1, 512, 8]",1,"metal0",48.375,"vm.builtin.cached_padding_1d_update",0.103323
"float32[1, 512, 8], float32[1, 512, 1], float32[1, 512, 8]",1,"metal0",169.292,"fused_reshape18_snake3_reshape181",0.361587
"float32[1, 512, 8]",1,"metal0",80,"vm.builtin.cached_padding_1d_update",0.17087
"float32[1, 512, 8]",1,"metal0",218.25,"vm.builtin.cached_padding_1d_update",0.466155
"float32[1, 512, 14], float32[512, 512, 7], float32[1, 512, 1], float32[1, 512, 8]",1,"metal0",229.625,"fused_conv1d34_add271",0.490451
"float32[1, 512, 8], float32[1, 512, 1], float32[1, 512, 8]",1,"metal0",216.834,"fused_reshape18_snake3_reshape181",0.463131
